id,longitude,latitude
Caribou,-121.16,40.08
Carlsbad,-117.28,33.12
Carmel Valley Village,-121.72,36.48
Carmel-by-the-Sea,-121.92,36.55
Carmet,-123.07,38.37
Carmichael,-121.32,38.63
Carnelian Bay,-120.08,39.23
Carpinteria,-119.51,34.38
Carrick,-122.36,41.45
Carson,-118.26,33.84
Cartago,-118.03,36.31
Caruthers,-119.85,36.54
Casa Conejo,-118.94,34.18
Casa de Oro-Mount Helix,-116.97,32.76
Casmalia,-120.53,34.84
Caspar,-123.8,39.36
Cassel,-121.55,40.92
Castaic,-118.63,34.48
Castle Hill,-122.06,37.87
Castro Valley,-122.06,37.71
Castroville,-121.75,36.77
Cathedral City,-116.47,33.84
Catheys Valley,-120.09,37.44
Cayucos,-120.89,35.44
Cazadero,-123.1,38.53
Cedar Ridge,-120.27,38.07
Cedar Slope,-118.58,36.14
Cedarville,-120.17,41.53
Centerville,-119.5,36.74
Ceres,-120.95,37.6
Cerritos,-118.07,33.87
Chalfant,-118.38,37.51
Challenge-Brownsville,-121.26,39.46
Channel Islands Beach,-119.22,34.16
Charter Oak,-117.86,34.1
Cherokee,-121.53,39.65
Cherokee Strip,-119.26,35.47
Cherry Valley,-116.97,33.98
Cherryland,-122.1,37.68
Chester,-121.23,40.3
Chico,-121.82,39.76
Chilcoot-Vinton,-120.14,39.81
China Lake Acres,-117.77,35.64
Chinese Camp,-120.44,37.87
Chino,-117.67,33.98
Chino Hills,-117.73,33.95
Chowchilla,-120.23,37.11
Chualar,-121.51,36.57
Chula Vista,-117.01,32.63
Citrus,-117.89,34.12
Citrus Heights,-121.29,38.69
Claremont,-117.72,34.13
Clarksburg,-121.54,38.42
Clay,-121.16,38.31
Clayton,-121.93,37.94
Clear Creek,-121.05,40.3
Clearlake,-122.63,38.96
Clearlake Oaks,-122.66,39.02
Clearlake Riviera,-122.72,38.95
Cleone,-123.78,39.49
Clio,-120.57,39.75
Clipper Mills,-121.17,39.53
Cloverdale,-123.02,38.8
Clovis,-119.69,36.83
Clyde,-122.03,38.03
Coachella,-116.15,33.69
Coalinga,-120.33,36.14
Coarsegold,-119.7,37.25
Cobb,-122.72,38.84
Coffee Creek,-122.71,41.08
Cohasset,-121.74,39.9
Cold Springs,-120.88,38.75
Cold Springs,-120.05,38.16
Coleville,-119.52,38.58
Colfax,-120.95,39.09
College City,-122.01,39.01
Collierville,-121.27,38.21
Colma town,-122.45,37.68
Coloma,-120.89,38.8
Colton,-117.33,34.05
Columbia,-120.41,38.03
Colusa,-122.01,39.2
Commerce,-118.15,34
Comptche,-123.59,39.27
Compton,-118.23,33.89
Concord,-122,37.97
Concow,-121.52,39.77
Contra Costa Centre,-122.05,37.93
Copperopolis,-120.63,37.94
Corcoran,-119.56,36.08
Corning,-122.18,39.93
Corona,-117.56,33.86
Coronado,-117.17,32.64
Coronita,-117.61,33.88
Corralitos,-121.79,36.99
Corte Madera town,-122.51,37.93
Costa Mesa,-117.91,33.67
Cotati,-122.71,38.33
Coto de Caza,-117.59,33.6
Cottonwood,-122.29,40.39
Coultervillle,-120.2,37.71
Country Club,-121.34,37.97
Courtland,-121.56,38.33
Covelo,-123.25,39.8
Covina,-117.88,34.09
Cowan,-120.99,37.56
Crescent City,-124.19,41.77
Crescent Mills,-120.92,40.1
Cressey,-120.66,37.42
Crest,-116.87,32.8
Crestline,-117.29,34.25
Crestmore Heights,-117.4,34.03
Creston,-120.52,35.52
Crockett,-122.22,38.05
Cromberg,-120.69,39.87
Crowley Lake,-118.75,37.57
Crows Landing,-121.08,37.39
Cudahy,-118.18,33.96
Culver City,-118.4,34.01
Cupertino,-122.05,37.32
Cutler,-119.29,36.53
Cutten,-124.14,40.77
Cuyama,-119.61,34.93
Cypress,-118.04,33.82
Daly City,-122.47,37.69
Dana Point,-117.71,33.44
Danville town,-121.97,37.81
Daphnedale Park,-120.55,41.51
Darwin,-117.59,36.27
Davenport,-122.19,37.02
Davis,-121.74,38.56
Day Valley,-121.86,37.03
Deer Park,-122.47,38.54
Del Aire,-118.37,33.92
Del Mar,-117.26,32.96
Del Monte Forest,-121.95,36.58
Del Rey,-119.6,36.66
Del Rey Oaks,-121.84,36.59
Del Rio,-121.01,37.74
Delano,-119.26,35.77
Delft Colony,-119.45,36.51
Delhi,-120.78,37.43
Delleker,-120.5,39.81
Denair,-120.8,37.53
Derby Acres,-119.6,35.24
Descanso,-116.63,32.87
Desert Center,-115.37,33.74
Desert Edge,-116.44,33.92
Desert Hot Springs,-116.55,33.97
Desert Palms,-116.29,33.78
Desert Shores,-116.04,33.4
Desert View Highlands,-118.15,34.59
Diablo,-121.96,37.84
Diablo Grande,-121.27,37.4
Diamond Bar,-117.82,34
Diamond Springs,-120.84,38.69
Dillon Beach,-122.96,38.24
Dinuba,-119.4,36.55
Discovery Bay,-121.6,37.91
Dixon,-121.82,38.45
Dixon Lane-Meadow Creek,-118.42,37.39
Dobbins,-121.21,39.37
Dogtown,-121.16,38.21
Dollar Point,-120.11,39.19
Dorrington,-120.27,38.29
Dorris,-121.92,41.96
Dos Palos,-120.63,36.99
Dos Palos Y,-120.64,37.05
Douglas City,-122.93,40.66
Downey,-118.13,33.94
Downieville,-120.82,39.57
Doyle,-120.12,40.03
Drytown,-120.86,38.44
Duarte,-117.95,34.16
Dublin,-121.9,37.72
Ducor,-119.05,35.89
Dunnigan,-121.97,38.89
Dunsmuir,-122.27,41.23
Durham,-121.79,39.62
Dustin Acres,-119.37,35.22
Dutch Flat,-120.83,39.21
Eagleville,-120.11,41.32
Earlimart,-119.27,35.88
East Foothills,-121.82,37.38
East Hemet,-116.94,33.73
East La Mirada,-117.99,33.92
East Los Angeles,-118.17,34.03
East Nicolaus,-121.54,38.91
East Oakdale,-120.8,37.78
East Orosi,-119.26,36.55
East Palo Alto,-122.13,37.47
East Pasadena,-118.08,34.14
East Porterville,-118.97,36.06
East Quincy,-120.92,39.92
East Rancho Dominguez,-118.2,33.89
East Richmond Heights,-122.31,37.95
East San Gabriel,-118.08,34.12
East Shore,-121.08,40.25
East Sonora,-120.34,37.98
East Tulare Villa,-119.28,36.2
Easton,-119.79,36.65
Eastvale,-117.58,33.96
Edgewood,-122.43,41.46
Edmundson Acres,-118.82,35.23
Edna,-120.61,35.21
Edwards AFB,-117.93,34.9
El Cajon,-116.96,32.8
El Centro,-115.56,32.79
# El Cerrito,-117.52,33.84
El Cerrito,-122.3,37.92
El Dorado Hills,-121.05,38.67
El Granada,-122.47,37.51
El Monte,-118.03,34.07
El Nido,-120.5,37.13
El Paso de Robles (Paso Robles),-120.66,35.64
El Portal,-119.79,37.67
El Rancho,-119.07,36.22
El Rio,-119.16,34.25
El Segundo,-118.4,33.92
El Sobrante,-117.46,33.87
El Sobrante,-122.3,37.97
El Verano,-122.49,38.3
Eldridge,-122.51,38.33
Elizabeth Lake,-118.38,34.66
Elk Creek,-122.54,39.6
Elk Grove,-121.38,38.42
Elkhorn,-121.72,36.81
Elmira,-121.91,38.35
Elverta,-121.45,38.72
Emerald Lake Hills,-122.27,37.47
Emeryville,-122.3,37.84
Empire,-120.9,37.64
Encinitas,-117.26,33.05
Escalon,-121,37.79
Escondido,-117.07,33.13
Esparto,-122.02,38.69
Etna,-122.89,41.46
Eucalyptus Hills,-116.95,32.89
Eureka,-124.16,40.79
Exeter,-119.15,36.29
Fair Oaks,-121.25,38.65
Fairbanks Ranch,-117.19,32.99
Fairfax town,-122.6,37.99
Fairfield,-122.04,38.26
Fairmead,-120.2,37.08
Fairview,-122.05,37.68
Fall River Mills,-121.44,41.01
Fallbrook,-117.23,33.37
Farmersville,-119.21,36.31
Farmington,-121,37.93
Fellows,-119.55,35.18
Felton,-122.08,37.04
Ferndale,-124.26,40.58
Fetters Hot Springs-Agua Caliente,-122.49,38.33
Fiddletown,-120.76,38.51
Fieldbrook,-124.03,40.97
Fields Landing,-124.22,40.72
Fillmore,-118.92,34.4
Firebaugh,-120.45,36.85
Fish Camp,-119.64,37.48
Florence-Graham,-118.24,33.97
Florin,-121.4,38.48
Floriston,-120.02,39.39
Flournoy,-122.45,39.93
Folsom,-121.15,38.68
Fontana,-117.46,34.1
Foothill Farms,-121.35,38.69
Forbestown,-121.27,39.53
Ford City,-119.46,35.16
Forest Meadows,-120.41,38.17
Forest Ranch,-121.67,39.9
Foresthill,-120.83,39.01
Forestville,-122.89,38.48
Fort Bidwell,-120.16,41.86
Fort Bragg,-123.8,39.44
Fort Irwin,-116.68,35.25
Fort Jones,-122.84,41.61
Fort Washington,-119.76,36.88
