id,longitude,latitude
14633,-121.964134,37.275561
25999,-95.494643,30.053808
14091,-122.070087,37.88362
42073,-122.176855,47.185173
53069,-122.177992,47.190197
22751,-119.796109,36.807377
2492,-73.202118,42.714377
30755,-119.778839,36.737668
44563,-117.634656,34.10921
44577,-117.635981,34.109474
51819,-4.072659,55.820716
51713,-4.072763,55.820764
12248,8.613296,47.402972
10808,-111.899188,40.507316
42003,-122.105746,37.988603
20747,-122.205489,37.838977
37077,-122.168242,37.446829
14713,-111.863052,40.791145
5460,-111.861434,40.72751
23943,-147.415847,64.820823
47495,-78.804272,35.965694
23311,-122.175862,38.062702
9014,-79.847495,40.572341
2890,-95.96844,41.359016
21249,-120.548774,35.024266
37971,-122.290362,37.883729
33823,-78.866696,42.884995
5588,-87.629436,41.868892
54183,-76.173252,39.983944
13143,-122.630646,38.006316
5416,-107.098936,37.274816
55339,-74.303564,40.673155
32553,-147.75743,64.90141
16863,-147.71021,64.838225
60015,-122.469673,37.762129
4928,-122.238814,38.090349
15477,-122.239486,38.097953
31185,-80.394267,37.22168
4613,-120.994838,37.798345
37121,-122.4308,37.77074
42909,-122.125633,37.376258
3479,-118.155307,34.046755
38831,-121.502106,38.572851
23285,-76.988037,38.882974
61171,-116.125583,44.918559
31583,-77.03275,38.913805
35081,-123.1001,44.043778
58077,-66.724706,48.020326
61489,-66.725453,48.020795
55101,-122.454214,37.782835
6786,-120.547195,35.034441
44055,-122.435686,37.766277
56703,-122.337523,48.410302
46293,-77.107814,38.891215
35725,-114.0059,46.29546
8014,-75.13163,39.998796
34103,-122.14053,37.828804
58007,-71.274308,46.818323
48333,-6.264591,53.329401
54945,-93.252936,45.005552
21317,-114.02304,46.860226
56071,-122.207097,37.840405
4101,-122.476532,37.78119
55623,-122.473745,37.749753
22489,-122.285786,37.813609
21435,-122.424406,37.760688
60519,-121.918725,36.624322
61175,-122.64818,38.47471
12244,8.613511,47.402961
51083,-71.569864,42.605655
20543,-122.319842,37.571381
17781,-122.147381,37.435263
50077,-119.195901,34.149282
60305,-122.33975,37.51673
43881,-122.140627,37.43091
11194,-78.850286,35.732652
19421,-122.30852,37.54914
3960,-122.260096,38.14128
16915,-122.418969,37.762414
35151,-148.040246,64.769383
5506,-0.192964,51.490536
28669,-122.480114,37.781653
57905,-122.345941,37.525625
51533,-93.03245,45.894701
45639,151.186087,-33.854888
19335,-122.482905,37.785605
36217,-122.345307,37.578544
20709,-122.436945,37.751396
21269,-122.44284,37.757645
23965,-122.256007,37.85431
4541,-109.545786,38.574463
33653,-79.863272,43.254591
28907,-79.803806,40.290927
63199,-73.593599,45.551619
36381,-122.421555,37.750386
34653,-118.482316,34.038909
34519,-118.487608,34.043484
60811,-122.482569,37.744004
46331,-122.198681,37.777814
15669,-122.518002,38.088906
27049,-118.450693,34.023696
44089,-122.435321,37.769415
33157,-121.844321,37.336608
37217,-118.402083,34.040783
35307,-117.117122,32.798355
1517,-118.287979,34.059919
22523,-122.430673,37.744825
12959,-81.70841,41.484917
58033,138.709114,-34.880072
58135,-71.973251,42.884383
30741,23.023117,40.545688
31131,22.992308,40.465755
55305,-123.26459,38.557275
38295,-121.853952,37.283553
22529,-93.273187,44.945267
11076,-155.784473,20.105431
50533,-122.430218,47.240578
33633,-122.446967,37.791905
27387,-119.184821,34.200117
8988,-122.0302,38.0285
47933,-76.612581,39.328681
4187,-119.678206,34.445036
51299,-122.413597,37.744755
21277,-79.967915,40.462273
32937,-120.042333,51.648361
34583,-122.136801,38.175546
5616,-79.144525,40.620418
6434,-111.877378,40.696268
4135,-121.77647,39.732016
8690,-118.347352,33.801738
36377,-122.117389,38.290533
57069,-122.053479,37.537746
43603,-118.378174,33.912557
39215,-122.626231,45.501722
60433,-122.497115,37.780385
44677,-122.49714,37.780317
36199,-122.043979,37.525015
23107,-111.789128,40.757155
18761,-70.27089,43.644691
30403,-120.04266,51.657658
50047,-80.207388,40.330757
37935,-122.497308,37.759311
56461,-122.49753,37.759281
26205,-121.890556,45.699798
20765,-122.765109,45.37186
36727,-122.229822,37.478128
5778,-118.501704,34.020344
36433,-118.478577,33.999649
33881,-82.997465,39.959844
22881,-105.968919,35.6653
19985,-121.820159,39.708194
7562,-121.489377,38.586113
36673,-114.16004,46.24289
29869,-119.75049,36.7417
59057,-75.145825,39.959097
43407,-122.50442,37.751562
23191,-119.7563,37.167557
26193,-122.17077,37.908064
34161,-122.387161,37.766008
28675,-111.858669,40.773861
46609,-111.850996,40.774129
6608,-111.851048,40.77428
28487,-121.987149,38.245977
10014,-72.699155,41.247262
38665,-122.132952,37.445779
35375,-79.95422,40.480725
18659,-119.272622,35.50351
22879,-122.270969,37.840561
37069,-122.061938,37.722659
41503,-122.163394,37.76719
19693,-122.248083,37.869305
58845,-122.635448,38.229996
25463,103.963671,1.356508
17549,-87.821642,42.094113
61141,-122.212746,37.85134
9546,-98.621321,29.816063
56475,-81.528357,29.969591
53463,-122.255941,37.847775
53515,-122.255646,37.847699
55993,-121.024667,39.256429
25775,-122.206901,37.842023
37081,-122.425023,37.759338
19573,-122.097811,37.355683
20151,-118.211069,34.105414
38371,-122.248155,37.820097
37417,-111.887055,40.47604
56045,-122.211711,37.849675
12811,-122.062429,37.40637
7002,-89.5995,45.0005
56273,-90.967098,30.293439
21303,-118.339917,34.084063
5125,-98.449745,29.476345
12052,-120.340784,50.676327
11286,-79.832389,43.256759
43585,-111.866358,40.786467
38623,-105.174925,39.986607
3503,-122.895698,44.533214
15127,-120.321836,50.674091
26379,-122.631159,38.224677
60647,-116.307625,34.110504
7946,19.111633,-33.9009
24657,-134.410175,58.304045
55069,-122.195805,37.482812
30899,-119.59224,48.359766
40249,-122.187852,37.381571
36355,-122.187804,37.442488
15467,-122.279458,37.90216
27983,-122.549633,37.879278
6238,-118.251227,33.965437
5432,-122.931781,43.937347
18297,-122.062222,37.354279
55547,-74.199761,40.665796
38649,-118.211084,34.114075
20727,-122.70587,38.318786
22789,-156.778916,71.288948
22375,-156.778488,71.288833
2667,-97.230241,32.921511
18625,-119.716059,36.818949
18645,-119.71599,36.819044
18647,-119.715987,36.819105
3637,-76.487151,38.977186
18555,-119.91031,38.935159
35717,-114.00821,46.29634
20159,-122.290129,37.526583
49397,-122.307429,37.56612
43615,-122.054069,37.340139
28247,-82.517312,27.604187
28175,-82.517257,27.604251
6732,-117.795642,33.681972
13081,-119.311237,48.929095
2853,-74.231538,39.576456
20103,-121.747998,38.54803
27817,-95.452097,29.733844
7576,-95.420597,29.723725
28147,-78.869075,35.760223
28115,-78.898438,35.854932
45621,-78.937875,35.95973
28145,-78.983261,36.012452
55081,-122.274654,37.836429
47765,-100.302972,25.671969
56203,-118.2644,34.2371
63387,-118.264438,34.237225
20783,0.127787,52.191328
37129,-118.513022,34.0244
25327,-90.038478,30.477832
17345,-148.258461,64.924653
828,-124.331144,49.322067
3676,-75.007222,40.069203
18755,-122.079578,37.906892
13269,-121.289811,38.16871
26633,-113.281925,53.555479
25319,-113.420814,53.559955
27743,-113.515642,53.457087
28577,-113.640714,53.542092
27783,-113.730472,53.351732
28585,-113.4145,53.559542
26681,-113.22016,53.41918
28629,-113.691299,53.583302
27663,-113.519283,53.539041
28587,-113.650967,53.491157
27709,-113.631211,53.629275
27741,-113.672365,53.654835
53109,-113.504103,53.513386
53385,-113.694193,53.53661
26503,-113.126896,53.415577
26651,-113.67614,53.584717
27695,-113.030727,53.508941
28627,-113.530047,53.526073
53155,-113.663661,53.562117
27707,-113.56231,53.564735
16453,-0.203651,5.552911
32339,-118.229081,34.116643
11002,-81.796582,41.018319
38679,-75.21053,40.699201
3968,-67.868655,-9.957346
38383,-118.660691,34.112104
50483,-75.220286,38.335265
45851,-0.274293,51.51525
34885,-122.282758,37.858842
46303,47.975488,29.329878
30737,-118.244159,34.135519
5504,-118.552418,34.365404
12238,38.807705,8.88513
24691,-147.727004,64.845704
56069,-122.515136,38.324413
31225,-76.998158,38.972425
51601,-120.947516,41.185684
32475,-118.459876,34.011123
19525,-119.010859,34.22092
55481,-122.436019,37.734234
6296,-111.779701,40.359413
5486,-111.820857,40.557209
49067,-113.546684,37.112078
45903,-100.297616,25.75302
5131,21.742024,38.257598
14877,21.728973,38.243164
14993,21.728171,38.242197
30603,23.092491,40.435338
35845,-124.052474,42.539441
58997,-121.181325,38.660669
3041,35.783338,32.835793
39199,-122.485443,38.322289
35851,-123.35362,42.482236
13181,-112.082734,33.296844
12308,-81.703731,33.547878
59111,-6.259182,53.300651
36861,-75.347888,40.400949
48339,-116.830351,33.944597
18471,-122.090245,37.38584
31177,126.8431,35.2285
28949,126.831526,35.244655
30555,126.834913,35.224793
15087,127.26275,35.170354
10060,126.835782,35.236826
31157,129.323653,35.349397
27837,-95.368372,29.74858
61135,-118.484424,34.023667
29215,-117.749625,34.072166
19167,-122.017445,37.332572
6780,-119.674953,37.183842
41445,-61.786236,12.006172
7732,8.678626,50.578046
7684,8.679576,50.578285
7714,8.67941,50.578111
7690,8.680026,50.579423
7710,8.684595,50.586385
7694,8.68452,50.586255
7686,8.684094,50.586243
22351,-122.249699,37.888655
57967,23.708831,37.98991
57839,23.708926,37.989803
57521,21.794404,38.304337
4493,54.462411,24.409095
60025,-122.25111,37.759441
19299,-122.238062,37.766932
37311,-122.267255,37.767347
37693,-122.28284,37.789079
56537,-104.970665,39.711532
18527,-122.016439,37.849896
18509,-121.879575,37.792997
22515,-122.011261,37.86547
38577,-122.433174,37.77509
10092,-121.97286,37.857566
5151,-122.02302,37.86313
31193,-105.879284,37.445884
19153,-122.430259,37.773312
15095,-105.070003,40.545855
60063,-122.286732,37.88619
2820,-119.13545,53.878533
24415,-100.227162,25.727991
7308,-122.389509,40.596176
39089,-122.081254,37.577776
